Year,Month,Date,Tsunami,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Country
1600,2.0,19.0,,-16.8,-70.9,20.0,7.9,,,PERU
1600,2.0,28.0,,-16.6,-70.8,20.0,8.1,,,PERU
1600,9.0,29.0,,23.5,117.2,,7.0,,,CHINA
1600,11.0,,,14.6,121.0,,,,,PHILIPPINES
1601,1.0,16.0,,14.6,121.0,,,,,PHILIPPINES
1601,9.0,8.0,Yes,46.8,8.5,,6.2,9.0,,SWITZERLAND
1602,2.0,8.0,Yes,35.1,140.5,,7.2,,,JAPAN
1603,,,,18.0,-92.5,,,,,MEXICO
1604,3.0,,,17.0,-96.3,,,,,MEXICO
1604,11.0,24.0,Yes,-17.88,-70.94,30.0,8.5,100.0,,PERU
1604,12.0,29.0,Yes,25.0,119.5,,8.0,,,CHINA
1604,12.0,,,-29.9,-71.3,,,,,CHILE
1604,,,Yes,35.5,25.5,,,,,GREECE
1605,2.0,3.0,Yes,33.0,134.9,,7.9,,,JAPAN
1605,2.0,3.0,Yes,33.5,138.5,,7.9,,,JAPAN
1605,7.0,13.0,,19.9,110.5,,7.5,2000.0,,CHINA
1606,11.0,30.0,,23.6,102.8,,6.5,2000.0,,CHINA
1608,1.0,8.0,,17.0,-96.3,,,,,MEXICO
1608,4.0,20.0,Yes,36.4,50.5,,7.6,,,IRAN
1608,5.0,14.0,,42.4,18.7,,,,,BALKANS NW
1608,7.0,25.0,,42.4,18.7,,,,,BALKANS NW
1608,9.0,15.0,,42.4,18.5,,,,,BALKANS NW
1609,7.0,12.0,,39.2,99.0,,7.3,840.0,,CHINA
1609,10.0,20.0,,-11.9,-77.4,40.0,8.6,,,PERU
1609,,,,38.6,16.3,,,,,ITALY
1610,2.0,3.0,,8.3,-71.8,,7.9,60.0,,VENEZUELA
1610,11.0,29.0,,47.5,7.5,,,,,SWITZERLAND
1610,11.0,,,17.0,122.0,,,,,PHILIPPINES
1611,8.0,25.0,,19.5,-99.1,,,,,MEXICO
1611,9.0,9.0,,21.5,111.3,,5.5,2.0,,CHINA
1611,9.0,25.0,,19.5,-99.1,,,,,MEXICO
1611,9.0,27.0,,37.5,140.0,,,3700.0,,JAPAN
1611,12.0,2.0,Yes,39.0,144.5,,8.1,,,JAPAN
1611,12.0,9.0,,35.1,58.9,,,,,IRAN
1612,5.0,16.0,,38.8,20.8,,,,,GREECE
1612,11.0,8.0,Yes,35.5,25.5,,,,,GREECE
1613,7.0,16.0,,37.2,127.0,,6.3,,,SOUTH KOREA
1613,8.0,25.0,Yes,38.117,14.783,,5.6,103.0,,ITALY
1613,,,,35.3,25.1,,,,,GREECE
1614,5.0,4.0,,38.4,-27.0,,,,,AZORES
1614,5.0,24.0,,38.4,-24.1,,,,,AZORES
1614,10.0,23.0,,37.2,112.5,,6.5,,,CHINA
1614,11.0,26.0,Yes,37.5,138.0,,7.7,,,JAPAN
1615,6.0,5.0,Yes,44.9,35.5,,5.7,,,UKRAINE
